width,height,horizontalStreets,verticalStreets,density,stream
50,50,2,2,1,0.0332414
50,50,2,2,2,0.0660005
50,50,2,2,3,0.0980138
50,50,2,2,4,0.128103
50,50,2,2,5,0.154482
50,50,2,2,6,0.176759
50,50,2,2,7,0.193766
50,50,2,2,8,0.206745
50,50,2,2,9,0.215969
50,50,2,2,10,0.222754
50,50,2,2,11,0.22743
50,50,2,2,12,0.230869
50,50,2,2,13,0.233327
50,50,2,2,14,0.23542
50,50,2,2,15,0.23634
50,50,2,2,16,0.237929
50,50,2,2,17,0.238231
50,50,2,2,18,0.239512
50,50,2,2,19,0.238757
50,50,2,2,20,0.238031
50,50,2,2,21,0.238606
50,50,2,2,22,0.237695
50,50,2,2,23,0.236662
50,50,2,2,24,0.235648
50,50,2,2,25,0.233037
50,50,2,2,26,0.233681
50,50,2,2,27,0.230318
50,50,2,2,28,0.227514
50,50,2,2,29,0.221082
50,50,2,2,30,0.207069
50,50,2,2,31,0.210488
50,50,2,2,32,0.202753
50,50,2,2,33,0.119144
50,50,2,2,34,0.0476138
50,50,2,2,35,0.0235549
50,50,2,2,36,0.0154181
50,50,2,2,37,0.00944212
50,50,2,2,38,0.00741242
50,50,2,2,39,0.00599823
50,50,2,2,40,0.00530202
50,50,2,2,41,0.00542237
50,50,2,2,42,0.00528894
50,50,2,2,43,0.00505934
50,50,2,2,44,0.0065953
50,50,2,2,45,0.00587829
50,50,2,2,46,0.00611348
50,50,2,2,47,0.00631934
50,50,2,2,48,0.00819752
50,50,2,2,49,0.0140689
50,50,2,2,50,0.0105454
50,50,2,2,51,0.00491631
50,50,2,2,52,0.00278343
50,50,2,2,53,0.00190672
50,50,2,2,54,0.000782576
50,50,2,2,55,0.000594293
50,50,2,2,56,0.000423838
50,50,2,2,57,0.000218586
50,50,2,2,58,0.00021202
50,50,2,2,59,0.000220152
50,50,2,2,60,9.9899e-05
50,50,2,2,61,3.85354e-05
50,50,2,2,62,6.36868e-05
50,50,2,2,63,9.25758e-05
50,50,2,2,64,4.86868e-05
50,50,2,2,65,1.56061e-05
50,50,2,2,66,4.18182e-05
50,50,2,2,67,2.57576e-06
50,50,2,2,68,1.30808e-05
50,50,2,2,69,2.32323e-06
50,50,2,2,70,3.23232e-06
50,50,2,2,71,4.59596e-06
50,50,2,2,72,4.09091e-06
50,50,2,2,73,1.77778e-05
50,50,2,2,74,0
50,50,2,2,75,0
50,50,2,2,76,1.51515e-07
50,50,2,2,77,7.07071e-07
50,50,2,2,78,0
50,50,2,2,79,0
50,50,2,2,80,0
50,50,2,2,81,0
50,50,2,2,82,0
50,50,2,2,83,0
50,50,2,2,84,0
50,50,2,2,85,0
50,50,2,2,86,0
50,50,2,2,87,0
50,50,2,2,88,0
50,50,2,2,89,0
50,50,2,2,90,0

100,100,4,4,1,0.0331046
100,100,4,4,2,0.0652687
100,100,4,4,3,0.0958908
100,100,4,4,4,0.124303
100,100,4,4,5,0.149646
100,100,4,4,6,0.170979
100,100,4,4,7,0.18797
100,100,4,4,8,0.201106
100,100,4,4,9,0.210489
100,100,4,4,10,0.217924
100,100,4,4,11,0.222589
100,100,4,4,12,0.225956
100,100,4,4,13,0.22844
100,100,4,4,14,0.230035
100,100,4,4,15,0.212506
100,100,4,4,16,0.0850865
100,100,4,4,17,0.0581446
100,100,4,4,18,0.0208423
100,100,4,4,19,0.0378577
100,100,4,4,20,0.0172128
100,100,4,4,21,0.0147739
100,100,4,4,22,0.0136915
100,100,4,4,23,0.0104662
100,100,4,4,24,0.00927988
100,100,4,4,25,0.00978216
100,100,4,4,26,0.00856489
100,100,4,4,27,0.00861111
100,100,4,4,28,0.00688714
100,100,4,4,29,0.00662244
100,100,4,4,30,0.00523852
100,100,4,4,31,0.00586377
100,100,4,4,32,0.00448561
100,100,4,4,33,0.00365977
100,100,4,4,34,0.0038066
100,100,4,4,35,0.0037924
100,100,4,4,36,0.00267316
100,100,4,4,37,0.00339181
100,100,4,4,38,0.00270617
100,100,4,4,39,0.00243485
100,100,4,4,40,0.00285215
100,100,4,4,41,0.00209241
100,100,4,4,42,0.00269261
100,100,4,4,43,0.00195292
100,100,4,4,44,0.00133062
100,100,4,4,45,0.00145196
100,100,4,4,46,0.00135751
100,100,4,4,47,0.00128366
100,100,4,4,48,0.00128646
100,100,4,4,49,0.00101439
100,100,4,4,50,0.00125857
100,100,4,4,51,0.0012415
100,100,4,4,52,0.000849785
100,100,4,4,53,0.00116819
100,100,4,4,54,0.000824482
100,100,4,4,55,0.000686793
100,100,4,4,56,0.000669722
100,100,4,4,57,0.000586982
100,100,4,4,58,0.000424722
100,100,4,4,59,0.000545568
100,100,4,4,60,0.000392866
100,100,4,4,61,0.00037154
100,100,4,4,62,0.000240177
100,100,4,4,63,0.000217323
100,100,4,4,64,9.85101e-05
100,100,4,4,65,0.000129508
100,100,4,4,66,0.000119104
100,100,4,4,67,9.22096e-05
100,100,4,4,68,1.17677e-05
100,100,4,4,69,4.67677e-05
100,100,4,4,70,3.44823e-05
100,100,4,4,71,4.125e-05
100,100,4,4,72,3.22475e-05
100,100,4,4,73,1.63636e-05
100,100,4,4,74,1.31818e-05
100,100,4,4,75,5.17677e-07
100,100,4,4,76,4.41919e-06
100,100,4,4,77,6.69192e-07
100,100,4,4,78,0
100,100,4,4,79,1.28788e-06
100,100,4,4,80,0
100,100,4,4,81,0
100,100,4,4,82,0
100,100,4,4,83,0
100,100,4,4,84,0
100,100,4,4,85,0
100,100,4,4,86,0
100,100,4,4,87,0
100,100,4,4,88,0
100,100,4,4,89,0
100,100,4,4,90,0

150,150,6,6,1,0.0329506
150,150,6,6,2,0.0647991
150,150,6,6,3,0.0951025
150,150,6,6,4,0.123162
150,150,6,6,5,0.148172
150,150,6,6,6,0.169424
150,150,6,6,7,0.186323
150,150,6,6,8,0.199251
150,150,6,6,9,0.20902
150,150,6,6,10,0.215539
150,150,6,6,11,0.220591
150,150,6,6,12,0.191109
150,150,6,6,13,0.122281
150,150,6,6,14,0.0660719
150,150,6,6,15,0.0368946
150,150,6,6,16,0.0359081
150,150,6,6,17,0.0189067
150,150,6,6,18,0.0163609
150,150,6,6,19,0.0134206
150,150,6,6,20,0.013968
150,150,6,6,21,0.0138793
150,150,6,6,22,0.00962789
150,150,6,6,23,0.00838406
150,150,6,6,24,0.00803771
150,150,6,6,25,0.00792079
150,150,6,6,26,0.00791528
150,150,6,6,27,0.00638323
150,150,6,6,28,0.00657395
150,150,6,6,29,0.00605984
150,150,6,6,30,0.00589297
150,150,6,6,31,0.00439576
150,150,6,6,32,0.00474209
150,150,6,6,33,0.00450931
150,150,6,6,34,0.00384663
150,150,6,6,35,0.00311066
150,150,6,6,36,0.00321987
150,150,6,6,37,0.00321227
150,150,6,6,38,0.00287686
150,150,6,6,39,0.00230736
150,150,6,6,40,0.0022068
150,150,6,6,41,0.00210294
150,150,6,6,42,0.00206512
150,150,6,6,43,0.00232612
150,150,6,6,44,0.00186197
150,150,6,6,45,0.00164809
150,150,6,6,46,0.00158022
150,150,6,6,47,0.00129776
150,150,6,6,48,0.00143429
150,150,6,6,49,0.0012612
150,150,6,6,50,0.000976078
150,150,6,6,51,0.00104773
150,150,6,6,52,0.000991167
150,150,6,6,53,0.000821055
150,150,6,6,54,0.000870169
150,150,6,6,55,0.000761756
150,150,6,6,56,0.000615039
150,150,6,6,57,0.000667828
150,150,6,6,58,0.000547452
150,150,6,6,59,0.000473794
150,150,6,6,60,0.000317666
150,150,6,6,61,0.000350488
150,150,6,6,62,0.000303384
150,150,6,6,63,0.000178934
150,150,6,6,64,0.000144108
150,150,6,6,65,0.000141734
150,150,6,6,66,7.72446e-05
150,150,6,6,67,6.71437e-05
150,150,6,6,68,0.000106818
150,150,6,6,69,1.80976e-05
150,150,6,6,70,3.90067e-05
150,150,6,6,71,2.28956e-05
150,150,6,6,72,2.18238e-05
150,150,6,6,73,1.22334e-05
150,150,6,6,74,1.40516e-05
150,150,6,6,75,1.32997e-06
150,150,6,6,76,3.29966e-06
150,150,6,6,77,2.21661e-06
150,150,6,6,78,1.57127e-07
150,150,6,6,79,0
150,150,6,6,80,0
150,150,6,6,81,0
150,150,6,6,82,0
150,150,6,6,83,0
150,150,6,6,84,0
150,150,6,6,85,0
150,150,6,6,86,0
150,150,6,6,87,0
150,150,6,6,88,0
150,150,6,6,89,2.24467e-08
150,150,6,6,90,0

200,200,8,8,1,0.0329414
200,200,8,8,2,0.0647968
200,200,8,8,3,0.0950513
200,200,8,8,4,0.123059
200,200,8,8,5,0.148026
200,200,8,8,6,0.169067
200,200,8,8,7,0.185752
200,200,8,8,8,0.198551
200,200,8,8,9,0.208305
200,200,8,8,10,0.211432
200,200,8,8,11,0.160381
200,200,8,8,12,0.0868529
200,200,8,8,13,0.0561658
200,200,8,8,14,0.0336591
200,200,8,8,15,0.0286814
200,200,8,8,16,0.0200341
200,200,8,8,17,0.0167559
200,200,8,8,18,0.0169836
200,200,8,8,19,0.0141592
200,200,8,8,20,0.0137382
200,200,8,8,21,0.0120562
200,200,8,8,22,0.0114062
200,200,8,8,23,0.00943675
200,200,8,8,24,0.00938768
200,200,8,8,25,0.00776187
200,200,8,8,26,0.0071681
200,200,8,8,27,0.0071541
200,200,8,8,28,0.00704434
200,200,8,8,29,0.00504247
200,200,8,8,30,0.00568662
200,200,8,8,31,0.0049738
200,200,8,8,32,0.00466412
200,200,8,8,33,0.00365424
200,200,8,8,34,0.00388732
200,200,8,8,35,0.00336053
200,200,8,8,36,0.0030871
200,200,8,8,37,0.00295531
200,200,8,8,38,0.00298039
200,200,8,8,39,0.00273558
200,200,8,8,40,0.00228152
200,200,8,8,41,0.00233755
200,200,8,8,42,0.00202992
200,200,8,8,43,0.00186195
200,200,8,8,44,0.00185206
200,200,8,8,45,0.00169726
200,200,8,8,46,0.00148508
200,200,8,8,47,0.00139898
200,200,8,8,48,0.00145246
200,200,8,8,49,0.0012527
200,200,8,8,50,0.00121458
200,200,8,8,51,0.00107719
200,200,8,8,52,0.000922475
200,200,8,8,53,0.000915719
200,200,8,8,54,0.000860174
200,200,8,8,55,0.000728213
200,200,8,8,56,0.000749688
200,200,8,8,57,0.000631534
200,200,8,8,58,0.000535107
200,200,8,8,59,0.000417503
200,200,8,8,60,0.000399896
200,200,8,8,61,0.000407522
200,200,8,8,62,0.000311247
200,200,8,8,63,0.000198283
200,200,8,8,64,0.000169558
200,200,8,8,65,0.000145777
200,200,8,8,66,0.000152001
200,200,8,8,67,0.000121114
200,200,8,8,68,8.64267e-05
200,200,8,8,69,2.57544e-05
200,200,8,8,70,3.26231e-05
200,200,8,8,71,1.61143e-05
200,200,8,8,72,1.59059e-05
200,200,8,8,73,7.89457e-06
200,200,8,8,74,8.46591e-06
200,200,8,8,75,1.73611e-07
200,200,8,8,76,7.95454e-07
200,200,8,8,77,1.10795e-06
200,200,8,8,78,1.42361e-06
200,200,8,8,79,3.25126e-07
200,200,8,8,80,2.05177e-07
200,200,8,8,81,3.31439e-07
200,200,8,8,82,0
200,200,8,8,83,0
200,200,8,8,84,3.81944e-07
200,200,8,8,85,0
200,200,8,8,86,3.47222e-08
200,200,8,8,87,0
200,200,8,8,88,0
200,200,8,8,89,0
200,200,8,8,90,5.68182e-08

250,250,10,10,1,0.0329306
250,250,10,10,2,0.0647692
250,250,10,10,3,0.094962
250,250,10,10,4,0.122931
250,250,10,10,5,0.14778
250,250,10,10,6,0.168753
250,250,10,10,7,0.185663
250,250,10,10,8,0.198353
250,250,10,10,9,0.207647
250,250,10,10,10,0.180531
250,250,10,10,11,0.123484
250,250,10,10,12,0.0634975
250,250,10,10,13,0.0485211
250,250,10,10,14,0.0301441
250,250,10,10,15,0.0230495
250,250,10,10,16,0.0204917
250,250,10,10,17,0.0161202
250,250,10,10,18,0.0148856
250,250,10,10,19,0.0138788
250,250,10,10,20,0.0118495
250,250,10,10,21,0.0113695
250,250,10,10,22,0.0107165
250,250,10,10,23,0.0097697
250,250,10,10,24,0.00885602
250,250,10,10,25,0.00844433
250,250,10,10,26,0.00721742
250,250,10,10,27,0.00700578
250,250,10,10,28,0.00608897
250,250,10,10,29,0.00549818
250,250,10,10,30,0.00576077
250,250,10,10,31,0.00511529
250,250,10,10,32,0.00473344
250,250,10,10,33,0.0038901
250,250,10,10,34,0.00420842
250,250,10,10,35,0.00357305
250,250,10,10,36,0.00317735
250,250,10,10,37,0.00306094
250,250,10,10,38,0.00250943
250,250,10,10,39,0.00275446
250,250,10,10,40,0.00249879
250,250,10,10,41,0.00241892
250,250,10,10,42,0.00204926
250,250,10,10,43,0.00199227
250,250,10,10,44,0.00187091
250,250,10,10,45,0.00169519
250,250,10,10,46,0.00162802
250,250,10,10,47,0.00150679
250,250,10,10,48,0.00136961
250,250,10,10,49,0.00124512
250,250,10,10,50,0.00109897
250,250,10,10,51,0.00104713
250,250,10,10,52,0.00092197
250,250,10,10,53,0.000903986
250,250,10,10,54,0.000834957
250,250,10,10,55,0.000678574
250,250,10,10,56,0.000690285
250,250,10,10,57,0.000540521
250,250,10,10,58,0.000513008
250,250,10,10,59,0.000460279
250,250,10,10,60,0.000406644
250,250,10,10,61,0.000361018
250,250,10,10,62,0.00028437
250,250,10,10,63,0.000263238
250,250,10,10,64,0.000221665
250,250,10,10,65,0.000165331
250,250,10,10,66,9.76727e-05
250,250,10,10,67,0.000100137
250,250,10,10,68,9.34081e-05
250,250,10,10,69,3.21515e-05
250,250,10,10,70,3.63071e-05
250,250,10,10,71,2.61758e-05
250,250,10,10,72,1.18222e-05
250,250,10,10,73,1.15535e-05
250,250,10,10,74,3.77374e-06
250,250,10,10,75,4.14344e-06
250,250,10,10,76,2.27071e-06
250,250,10,10,77,4.1798e-06
250,250,10,10,78,5.55556e-07
250,250,10,10,79,1.46263e-06
250,250,10,10,80,1.73737e-07
250,250,10,10,81,3.33333e-07
250,250,10,10,82,0
250,250,10,10,83,1.25253e-07
250,250,10,10,84,0
250,250,10,10,85,0
250,250,10,10,86,1.21212e-08
250,250,10,10,87,4.24242e-08
250,250,10,10,88,0
250,250,10,10,89,5.85859e-08
250,250,10,10,90,0

